Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;
;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;
221;Rosenheim;09;Christlich-Soziale Union in Bayern e.V.;238910;;;;201583;;;;894;;;;200689;;;;17916;;;;;;;;25196;;;;5724;;;;36813;;;;82023;;;;9152;;;;16037;;;;2711;;;;2341;;;;;;;;;;;;;;;;1893;;;;;;;;;;;;;;;;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;533;;;;;;;;;;;;;;;;;;;;
222;Bad Tölz-Wolfratshausen – Miesbach;09;Christlich-Soziale Union in Bayern e.V.;165895;;;;141799;;;;653;;;;141146;;;;10901;;;;;;;;20820;;;;4754;;;;23291;;;;65481;;;;4694;;;;7226;;;;;;;;;;;;;;;;;;;;;;;;1107;;;;1270;;;;;;;;;;;;;;;;;;;;1602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Starnberg – Landsberg am Lech;09;Christlich-Soziale Union in Bayern e.V.;215624;;;;188310;;;;764;;;;187546;;;;24177;;;;;;;;31311;;;;6665;;;;24187;;;;80441;;;;6449;;;;6051;;;;2430;;;;1520;;;;1499;;;;;;;;;;;;2118;;;;;;;;;;;;;;;;;;;;;;;;698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;Traunstein;09;Christlich-Soziale Union in Bayern e.V.;209020;;;;172572;;;;822;;;;171750;;;;20845;;;;;;;;14985;;;;3270;;;;30994;;;;80507;;;;6884;;;;10690;;;;;;;;1796;;;;;;;;;;;;;;;;;;;;1779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Weilheim;09;Christlich-Soziale Union in Bayern e.V.;168111;;;;143698;;;;782;;;;142916;;;;13489;;;;;;;;18128;;;;6356;;;;22169;;;;65409;;;;5698;;;;7936;;;;;;;;;;;;;;;;;;;;;;;;1400;;;;2331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Deggendorf;09;Christlich-Soziale Union in Bayern e.V.;165283;;;;135485;;;;675;;;;134810;;;;12156;;;;;;;;6354;;;;5188;;;;36406;;;;58347;;;;3070;;;;11370;;;;;;;;;;;;;;;;;;;;;;;;820;;;;;;;;;;;;;;;;;;;;;;;;1099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;Landshut;09;Christlich-Soziale Union in Bayern e.V.;247907;;;;208132;;;;828;;;;207304;;;;18800;;;;;;;;17125;;;;6437;;;;42123;;;;70986;;;;7562;;;;38342;;;;2093;;;;;;;;;;;;;;;;;;;;1072;;;;1892;;;;;;;;;;;;;;;;;;;;872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;Passau;09;Christlich-Soziale Union in Bayern e.V.;176118;;;;144115;;;;595;;;;143520;;;;20121;;;;;;;;7425;;;;3072;;;;33776;;;;58538;;;;4161;;;;9198;;;;;;;;;;;;;;;;;;;;;;;;799;;;;2626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3804;;;;;;;;;;;;;;;;
229;Rottal-Inn;09;Christlich-Soziale Union in Bayern e.V.;172941;;;;142709;;;;639;;;;142070;;;;9947;;;;;;;;7688;;;;2625;;;;32885;;;;49582;;;;4167;;;;32668;;;;;;;;;;;;;;;;;;;;;;;;897;;;;1611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;Straubing;09;Christlich-Soziale Union in Bayern e.V.;172522;;;;141540;;;;597;;;;140943;;;;11132;;;;;;;;7241;;;;2715;;;;36673;;;;65291;;;;4394;;;;11139;;;;;;;;;;;;;;;;;;;;;;;;;;;;1877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;481;;;;;;;;;;;;;;;;;;;;
231;Amberg;09;Christlich-Soziale Union in Bayern e.V.;214379;;;;181941;;;;808;;;;181133;;;;19705;;;;;;;;12177;;;;4698;;;;38359;;;;80626;;;;7316;;;;12883;;;;;;;;1607;;;;;;;;;;;;;;;;1402;;;;1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;612;;;;;;;;;;;;;;;;;;;;
232;Regensburg;09;Christlich-Soziale Union in Bayern e.V.;250984;;;;212696;;;;729;;;;211967;;;;27626;;;;;;;;27741;;;;5229;;;;37964;;;;81105;;;;9736;;;;11214;;;;2051;;;;;;;;;;;;;;;;;;;;2172;;;;1655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;323;;;;5151;;;;;;;;;;;;;;;;
233;Schwandorf;09;Christlich-Soziale Union in Bayern e.V.;220950;;;;185033;;;;883;;;;184150;;;;25534;;;;;;;;7516;;;;3432;;;;49695;;;;77717;;;;4914;;;;13591;;;;;;;;;;;;;;;;;;;;;;;;;;;;1231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520;;;;;;;;;;;;;;;;;;;;
234;Weiden;09;Christlich-Soziale Union in Bayern e.V.;162689;;;;136787;;;;641;;;;136146;;;;16294;;;;;;;;6624;;;;4126;;;;31352;;;;59268;;;;5591;;;;9673;;;;;;;;;;;;;;;;;;;;;;;;;;;;787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2431;;;;
235;Bamberg;09;Christlich-Soziale Union in Bayern e.V.;181281;;;;155529;;;;661;;;;154868;;;;22569;;;;;;;;20762;;;;4709;;;;28891;;;;61044;;;;7914;;;;6174;;;;;;;;;;;;;;;;;;;;;;;;1797;;;;1008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;Bayreuth;09;Christlich-Soziale Union in Bayern e.V.;159361;;;;134067;;;;602;;;;133465;;;;19031;;;;;;;;10999;;;;3680;;;;25144;;;;59366;;;;6117;;;;6741;;;;;;;;990;;;;;;;;;;;;;;;;1397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;Coburg;09;Christlich-Soziale Union in Bayern e.V.;153429;;;;128769;;;;592;;;;128177;;;;18425;;;;;;;;10943;;;;2490;;;;26822;;;;53725;;;;5019;;;;6944;;;;;;;;;;;;;;;;;;;;;;;;;;;;963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2846;;;;;;;;;;;;;;;;
238;Hof;09;Christlich-Soziale Union in Bayern e.V.;157915;;;;129424;;;;762;;;;128662;;;;22966;;;;;;;;6391;;;;3160;;;;30614;;;;51926;;;;5789;;;;6181;;;;;;;;;;;;;;;;;;;;;;;;997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;638;;;;;;;;;;;;;;;;;;;;
239;Kulmbach;09;Christlich-Soziale Union in Bayern e.V.;165464;;;;141525;;;;760;;;;140765;;;;13210;;;;;;;;9233;;;;2838;;;;30698;;;;69446;;;;5361;;;;8742;;;;;;;;;;;;;;;;;;;;;;;;1237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;Ansbach;09;Christlich-Soziale Union in Bayern e.V.;241618;;;;203824;;;;1008;;;;202816;;;;26718;;;;;;;;18248;;;;5276;;;;43100;;;;84723;;;;9434;;;;10960;;;;;;;;;;;;;;;;;;;;;;;;2106;;;;2251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;Erlangen;09;Christlich-Soziale Union in Bayern e.V.;186938;;;;162264;;;;844;;;;161420;;;;28003;;;;;;;;29337;;;;4761;;;;22637;;;;57971;;;;9115;;;;7023;;;;;;;;;;;;;;;;;;;;;;;;2573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;Fürth;09;Christlich-Soziale Union in Bayern e.V.;248612;;;;208200;;;;1067;;;;207133;;;;36983;;;;;;;;22502;;;;6095;;;;38344;;;;77512;;;;12638;;;;8042;;;;;;;;;;;;;;;;;;;;;;;;2280;;;;2737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;Nürnberg-Nord;09;–;187179;;;;151372;;;;878;;;;150494;;;;26738;;;;;;;;32432;;;;4976;;;;18093;;;;45424;;;;14697;;;;2963;;;;;;;;;;;;1598;;;;;;;;;;;;2243;;;;984;;;;;;;;;;;;;;;;;;;;;;;;346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;Nürnberg-Süd;09;Christlich-Soziale Union in Bayern e.V.;174758;;;;136860;;;;1006;;;;135854;;;;24213;;;;;;;;14730;;;;3556;;;;27128;;;;48913;;;;10821;;;;3662;;;;;;;;;;;;;;;;;;;;;;;;1865;;;;966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;Roth;09;Christlich-Soziale Union in Bayern e.V.;227696;;;;197152;;;;947;;;;196205;;;;25561;;;;;;;;24181;;;;5525;;;;33199;;;;84151;;;;9951;;;;8872;;;;;;;;;;;;;;;;;;;;;;;;1884;;;;1397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654;;;;;;;;;;;;;;;;830;;;;
246;Aschaffenburg;09;Christlich-Soziale Union in Bayern e.V.;181144;;;;155293;;;;956;;;;154337;;;;19006;;;;;;;;18230;;;;5169;;;;28438;;;;67597;;;;7334;;;;4314;;;;;;;;;;;;;;;;;;;;;;;;1650;;;;1078;;;;;;;;;;;;;;;;;;;;571;;;;;;;;;;;;;;;;;;;;;;;;423;;;;;;;;;;;;;;;;527;;;;
247;Bad Kissingen;09;Christlich-Soziale Union in Bayern e.V.;210364;;;;180527;;;;7608;;;;172919;;;;25127;;;;;;;;10615;;;;8444;;;;;;;;87357;;;;9957;;;;22323;;;;;;;;;;;;;;;;;;;;;;;;;;;;2216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6880;;;;;;;;;;;;;;;;;;;;
248;Main-Spessart;09;Christlich-Soziale Union in Bayern e.V.;192185;;;;165463;;;;924;;;;164539;;;;25806;;;;;;;;13740;;;;3802;;;;29752;;;;74896;;;;6784;;;;8328;;;;;;;;;;;;;;;;;;;;;;;;;;;;1431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;Schweinfurt;09;Christlich-Soziale Union in Bayern e.V.;194125;;;;163446;;;;949;;;;162497;;;;21834;;;;;;;;12894;;;;3992;;;;33832;;;;70455;;;;7606;;;;7823;;;;;;;;;;;;;;;;;;;;;;;;1559;;;;1383;;;;;;;;;;;;;;;;;;;;921;;;;198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;Würzburg;09;Christlich-Soziale Union in Bayern e.V.;222633;;;;192406;;;;990;;;;191416;;;;26349;;;;;;;;36587;;;;8012;;;;24817;;;;74917;;;;9766;;;;5704;;;;;;;;2083;;;;;;;;;;;;;;;;3181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;Augsburg-Stadt;09;–;186448;;;;148097;;;;798;;;;147299;;;;20701;;;;;;;;30320;;;;4139;;;;25488;;;;45742;;;;10966;;;;5463;;;;;;;;1434;;;;;;;;;;;;;;;;1725;;;;1078;;;;;;;;;;;;;;;;;;;;;;;;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;Augsburg-Land;09;Christlich-Soziale Union in Bayern e.V.;232095;;;;199564;;;;948;;;;198616;;;;25217;;;;;;;;18278;;;;5509;;;;37563;;;;88388;;;;7842;;;;10256;;;;;;;;1969;;;;;;;;;;;;;;;;1477;;;;2117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;Donau-Ries;09;Christlich-Soziale Union in Bayern e.V.;192393;;;;163283;;;;639;;;;162644;;;;19720;;;;;;;;9398;;;;3895;;;;34916;;;;73296;;;;5536;;;;9972;;;;;;;;1411;;;;;;;;;;;;;;;;;;;;965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3535;;;;;;;;;;;;;;;;
254;Neu-Ulm;09;Christlich-Soziale Union in Bayern e.V.;215191;;;;178435;;;;1043;;;;177392;;;;18762;;;;;;;;14869;;;;5121;;;;41999;;;;75359;;;;8006;;;;6162;;;;3014;;;;1422;;;;;;;;;;;;;;;;1755;;;;;;;;;;;;;;;;263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;660;;;;;;;;;;;;;;;;;;;;
255;Memmingen – Unterallgäu;09;Christlich-Soziale Union in Bayern e.V.;159653;;;;134558;;;;957;;;;133601;;;;12674;;;;;;;;10821;;;;3938;;;;30371;;;;58479;;;;6212;;;;11106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;Oberallgäu;09;Christlich-Soziale Union in Bayern e.V.;228068;;;;191695;;;;987;;;;190708;;;;16065;;;;;;;;23668;;;;8113;;;;31804;;;;70226;;;;7461;;;;16475;;;;2978;;;;;;;;;;;;;;;;;;;;2205;;;;1560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10153;;;;
257;Ostallgäu;09;Christlich-Soziale Union in Bayern e.V.;161048;;;;136838;;;;913;;;;135925;;;;13508;;;;;;;;14096;;;;3529;;;;26633;;;;61899;;;;6102;;;;10158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09;Bayern;99;;9481659;;;;7996557;;;;47357;;;;7949200;;;;1016841;;;;;;;;969735;;;;246700;;;;1384631;;;;3272064;;;;366149;;;;461198;;;;28481;;;;20515;;;;9955;;;;;;;;;;;;66017;;;;49197;;;;;;;;;;;;613;;;;;;;;5763;;;;890;;;;;;;;;;;;;;;;;;;;13923;;;;19929;;;;;;;;;;;;16599;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Stuttgart I;08;BÜNDNIS 90/DIE GRÜNEN;188918;;;;162105;;;;910;;;;161195;;;;25231;;;;45662;;;;45667;;;;9327;;;;13843;;;;;;;;14203;;;;1981;;;;;;;;;;;;1572;;;;;;;;;;;;3426;;;;;;;;;;;;;;;;;;;;;;;;;;;;283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;Stuttgart II;08;–;174909;;;;139575;;;;1072;;;;138503;;;;22057;;;;42061;;;;29438;;;;5789;;;;20166;;;;;;;;12414;;;;1790;;;;;;;;;;;;1657;;;;;;;;;;;;2200;;;;;;;;;;;;;;;;;;;;;;;;;;;;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;587;;;;
260;Böblingen;08;Christlich Demokratische Union Deutschlands;243100;;;;204946;;;;1364;;;;203582;;;;34198;;;;76033;;;;27409;;;;12438;;;;34826;;;;;;;;9936;;;;6046;;;;;;;;;;;;;;;;;;;;;;;;1826;;;;;;;;;;;;;;;;;;;;;;;;;;;;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;590;;;;
261;Esslingen;08;Christlich Demokratische Union Deutschlands;165367;;;;139386;;;;778;;;;138608;;;;22446;;;;51329;;;;21500;;;;6021;;;;21754;;;;;;;;9177;;;;3479;;;;;;;;1104;;;;;;;;;;;;;;;;1798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;Nürtingen;08;Christlich Demokratische Union Deutschlands;203455;;;;173192;;;;1057;;;;172135;;;;28298;;;;64951;;;;24795;;;;9105;;;;30579;;;;;;;;9264;;;;5143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;Göppingen;08;Christlich Demokratische Union Deutschlands;174712;;;;143877;;;;1193;;;;142684;;;;24232;;;;52947;;;;13239;;;;5839;;;;32264;;;;;;;;6812;;;;4449;;;;;;;;1653;;;;;;;;;;;;;;;;1072;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;Waiblingen;08;Christlich Demokratische Union Deutschlands;219692;;;;184918;;;;1177;;;;183741;;;;31595;;;;69225;;;;22702;;;;10519;;;;33168;;;;;;;;9726;;;;4714;;;;;;;;2092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;Ludwigsburg;08;Christlich Demokratische Union Deutschlands;212465;;;;179881;;;;1075;;;;178806;;;;27111;;;;65326;;;;28680;;;;9149;;;;30176;;;;;;;;11154;;;;3175;;;;;;;;1467;;;;;;;;;;;;;;;;1762;;;;806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;Neckar-Zaber;08;Christlich Demokratische Union Deutschlands;228598;;;;195890;;;;1266;;;;194624;;;;29184;;;;76390;;;;22572;;;;7695;;;;37967;;;;;;;;9925;;;;5081;;;;;;;;2043;;;;;;;;;;;;;;;;2775;;;;992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;Heilbronn;08;Christlich Demokratische Union Deutschlands;238592;;;;194676;;;;1675;;;;193001;;;;29914;;;;67516;;;;16637;;;;9852;;;;48360;;;;;;;;11484;;;;4328;;;;;;;;1915;;;;;;;;;;;;;;;;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;314;;;;;;;;;;;;;;;;;;;;684;;;;;;;;;;;;;;;;;;;;
268;Schwäbisch Hall – Hohenlohe;08;Christlich Demokratische Union Deutschlands;224446;;;;186108;;;;1414;;;;184694;;;;27499;;;;67218;;;;18528;;;;8307;;;;44363;;;;;;;;8902;;;;4614;;;;;;;;2067;;;;1719;;;;;;;;;;;;1477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;Backnang – Schwäbisch Gmünd;08;Christlich Demokratische Union Deutschlands;175503;;;;146415;;;;1266;;;;145149;;;;23870;;;;53064;;;;15499;;;;5844;;;;33940;;;;;;;;7486;;;;3174;;;;;;;;;;;;2041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;Aalen – Heidenheim;08;Christlich Demokratische Union Deutschlands;217574;;;;180563;;;;1735;;;;178828;;;;25137;;;;74010;;;;14872;;;;6425;;;;41337;;;;;;;;8987;;;;4984;;;;;;;;;;;;;;;;;;;;;;;;1878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1198;;;;;;;;;;;;;;;;;;;;
271;Karlsruhe-Stadt;08;BÜNDNIS 90/DIE GRÜNEN;202812;;;;168556;;;;1126;;;;167430;;;;25553;;;;39597;;;;51306;;;;6399;;;;22986;;;;;;;;13353;;;;2015;;;;;;;;;;;;1945;;;;;;;;;;;;4021;;;;;;;;;;;;;;;;;;;;;;;;;;;;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;Karlsruhe-Land;08;Christlich Demokratische Union Deutschlands;207276;;;;176259;;;;1482;;;;174777;;;;26153;;;;68439;;;;22739;;;;7330;;;;32293;;;;;;;;8839;;;;4589;;;;;;;;;;;;2084;;;;;;;;;;;;2311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;Rastatt;08;Christlich Demokratische Union Deutschlands;200964;;;;163973;;;;1516;;;;162457;;;;24569;;;;63116;;;;18274;;;;5727;;;;36075;;;;;;;;7608;;;;5411;;;;;;;;1677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;Heidelberg;08;–;218284;;;;186493;;;;1109;;;;185384;;;;29464;;;;54060;;;;51423;;;;6767;;;;22182;;;;;;;;13225;;;;2566;;;;;;;;;;;;2271;;;;;;;;;;;;3251;;;;;;;;;;;;;;;;;;;;;;;;;;;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;Mannheim;08;–;195336;;;;153146;;;;1225;;;;151921;;;;34137;;;;37566;;;;27493;;;;6391;;;;27170;;;;;;;;12117;;;;2626;;;;2759;;;;;;;;1441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;Odenwald – Tauber;08;Christlich Demokratische Union Deutschlands;206482;;;;171415;;;;1515;;;;169900;;;;24015;;;;72800;;;;13334;;;;5336;;;;39075;;;;;;;;7689;;;;5759;;;;;;;;1892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;Rhein-Neckar;08;–;195510;;;;163898;;;;1419;;;;162479;;;;33082;;;;55930;;;;17909;;;;7029;;;;33086;;;;;;;;8276;;;;4754;;;;;;;;;;;;;;;;;;;;;;;;2413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;Bruchsal – Schwetzingen;08;Christlich Demokratische Union Deutschlands;194216;;;;162421;;;;1622;;;;160799;;;;26254;;;;58113;;;;17251;;;;6699;;;;35749;;;;;;;;8294;;;;5673;;;;;;;;;;;;;;;;;;;;;;;;2766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;Pforzheim;08;Christlich Demokratische Union Deutschlands;212982;;;;174321;;;;2289;;;;172032;;;;36222;;;;63762;;;;;;;;9382;;;;46265;;;;;;;;11023;;;;;;;;;;;;;;;;;;;;;;;;;;;;5378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;Calw;08;Christlich Demokratische Union Deutschlands;197556;;;;163682;;;;1274;;;;162408;;;;20945;;;;63399;;;;13187;;;;6838;;;;39325;;;;;;;;6312;;;;5812;;;;2425;;;;;;;;;;;;;;;;;;;;1526;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;618;;;;;;;;;;;;;;;;;;;;
281;Freiburg;08;BÜNDNIS 90/DIE GRÜNEN;228338;;;;196067;;;;1304;;;;194763;;;;30486;;;;47806;;;;63281;;;;5541;;;;20008;;;;;;;;19518;;;;2574;;;;;;;;;;;;1842;;;;;;;;;;;;3469;;;;;;;;;;;;;;;;;;;;;;;;;;;;238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;Lörrach – Müllheim;08;–;229946;;;;187809;;;;1440;;;;186369;;;;32290;;;;61900;;;;29239;;;;5810;;;;32848;;;;;;;;11325;;;;10174;;;;;;;;;;;;;;;;;;;;;;;;2783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;Emmendingen – Lahr;08;Christlich Demokratische Union Deutschlands;218790;;;;182311;;;;1439;;;;180872;;;;40204;;;;66984;;;;18328;;;;5695;;;;34282;;;;;;;;8504;;;;6875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
